family,params,build_sec,index_bytes,search_sec,recall_at_k
HNSW,"{""M"": 48, ""efConstruction"": 120, ""efSearch"": 64}",78.337119,912081186,0.541868,0.927689
HNSW,"{""M"": 48, ""efConstruction"": 120, ""efSearch"": 96}",78.337119,912081186,0.732163,0.961309
HNSW,"{""M"": 48, ""efConstruction"": 120, ""efSearch"": 128}",78.337119,912081186,0.930934,0.975815
HNSW,"{""M"": 48, ""efConstruction"": 120, ""efSearch"": 192}",78.337119,912081186,1.298343,0.988527
HNSW,"{""M"": 48, ""efConstruction"": 120, ""efSearch"": 256}",78.337119,912081186,1.652395,0.993688
HNSW,"{""M"": 48, ""efConstruction"": 200, ""efSearch"": 32}",135.539091,912081186,0.362409,0.851114
HNSW,"{""M"": 48, ""efConstruction"": 200, ""efSearch"": 64}",135.539091,912081186,0.605382,0.945645
HNSW,"{""M"": 48, ""efConstruction"": 200, ""efSearch"": 96}",135.539091,912081186,0.830303,0.973868
HNSW,"{""M"": 48, ""efConstruction"": 200, ""efSearch"": 128}",135.539091,912081186,1.004434,0.985003
HNSW,"{""M"": 48, ""efConstruction"": 200, ""efSearch"": 192}",135.539091,912081186,1.410078,0.993601
HNSW,"{""M"": 48, ""efConstruction"": 200, ""efSearch"": 256}",135.539091,912081186,1.825219,0.996723
IVF_PQ,"{""nlist"": 256, ""m"": 16, ""nprobe"": 1}",4.530903,24264372,0.244506,0.375889
IVF_PQ,"{""nlist"": 256, ""m"": 16, ""nprobe"": 2}",4.530903,24264372,0.521713,0.492467
IVF_PQ,"{""nlist"": 256, ""m"": 16, ""nprobe"": 4}",4.530903,24264372,0.721366,0.575963
IVF_PQ,"{""nlist"": 256, ""m"": 16, ""nprobe"": 8}",4.530903,24264372,1.347476,0.620277
IVF_PQ,"{""nlist"": 256, ""m"": 16, ""nprobe"": 16}",4.530903,24264372,2.488474,0.637799
IVF_PQ,"{""nlist"": 256, ""m"": 16, ""nprobe"": 32}",4.530903,24264372,4.786911,0.641992
IVF_PQ,"{""nlist"": 256, ""m"": 16, ""nprobe"": 64}",4.530903,24264372,9.290054,0.642389
