family	label	build_sec	index_bytes	search_sec	recall
HNSW	M24_efc40_efs32	35.22956878300465	720167022	0.3305176699941512	0.794516
HNSW	M24_efc40_efs64	35.22956878300465	720167022	0.49825989499368006	0.899039
HNSW	M24_efc40_efs96	35.22956878300465	720167022	0.6310689900055877	0.942143
HNSW	M24_efc40_efs128	35.22956878300465	720167022	0.8060071270010667	0.962825
HNSW	M24_efc40_efs192	35.22956878300465	720167022	1.146284373004164	0.981338
HNSW	M24_efc40_efs256	35.22956878300465	720167022	1.6202209600014612	0.989252
HNSW	M24_efc120_efs32	68.501846045001	720167022	0.2776567699984298	0.799697
HNSW	M24_efc120_efs64	68.501846045001	720167022	0.42334940200089477	0.91261
HNSW	M24_efc120_efs96	68.501846045001	720167022	0.6312542230007239	0.952634
HNSW	M24_efc120_efs128	68.501846045001	720167022	0.7515023079977254	0.970329
HNSW	M24_efc120_efs192	68.501846045001	720167022	1.0543231360061327	0.985659
HNSW	M24_efc120_efs256	68.501846045001	720167022	1.3446418220046326	0.991979
HNSW	M24_efc200_efs32	110.03667062800378	720167022	0.2888392210006714	0.816779
HNSW	M24_efc200_efs64	110.03667062800378	720167022	0.45102178300294327	0.926863
HNSW	M24_efc200_efs96	110.03667062800378	720167022	0.5793422259957879	0.963426
HNSW	M24_efc200_efs128	110.03667062800378	720167022	0.7119316160024027	0.978783
HNSW	M24_efc200_efs192	110.03667062800378	720167022	1.0215063520008698	0.990699
HNSW	M24_efc200_efs256	110.03667062800378	720167022	1.3540173520013923	0.995139
HNSW	M32_efc40_efs32	35.06598636500712	784129506	0.30426647100102855	0.850226
HNSW	M32_efc40_efs64	35.06598636500712	784129506	0.5507317770025111	0.929685
HNSW	M32_efc40_efs96	35.06598636500712	784129506	0.7223743330032448	0.961058
HNSW	M32_efc40_efs128	35.06598636500712	784129506	0.8818905900043319	0.975451
HNSW	M32_efc40_efs192	35.06598636500712	784129506	1.2372754709940637	0.988057
HNSW	M32_efc40_efs256	35.06598636500712	784129506	1.6258789470011834	0.993243
HNSW	M32_efc120_efs32	65.51439962400036	784129506	0.2692277199967066	0.814704
HNSW	M32_efc120_efs64	65.51439962400036	784129506	0.4980605269956868	0.921138
HNSW	M32_efc120_efs96	65.51439962400036	784129506	0.5608145360019989	0.95782
HNSW	M32_efc120_efs128	65.51439962400036	784129506	0.7116028579985141	0.973439
HNSW	M32_efc120_efs192	65.51439962400036	784129506	1.059490924999409	0.987355
HNSW	M32_efc120_efs256	65.51439962400036	784129506	1.307207081001252	0.992955
HNSW	M32_efc200_efs32	114.00725978400442	784129506	0.35608631399372825	0.836288
HNSW	M32_efc200_efs64	114.00725978400442	784129506	0.5570530949989916	0.937527
HNSW	M32_efc200_efs96	114.00725978400442	784129506	0.7279279479989782	0.969619
HNSW	M32_efc200_efs128	114.00725978400442	784129506	0.9198756830010097	0.982492
HNSW	M32_efc200_efs192	114.00725978400442	784129506	1.3109786089989939	0.992478
HNSW	M32_efc200_efs256	114.00725978400442	784129506	1.682253031001892	0.996054
HNSW	M48_efc40_efs32	45.628969917001086	912081186	0.43720372400275664	0.887281
HNSW	M48_efc40_efs64	45.628969917001086	912081186	0.7395388510049088	0.949189
HNSW	M48_efc40_efs96	45.628969917001086	912081186	0.9780231420008931	0.972604
HNSW	M48_efc40_efs128	45.628969917001086	912081186	1.2278361630014842	0.983264
HNSW	M48_efc40_efs192	45.628969917001086	912081186	1.7124022650023107	0.992266
HNSW	M48_efc40_efs256	45.628969917001086	912081186	2.156115461999434	0.995781
HNSW	M48_efc120_efs32	78.33711896200111	912081186	0.3312770129996352	0.826008
HNSW	M48_efc120_efs64	78.33711896200111	912081186	0.5418682339950465	0.927689
HNSW	M48_efc120_efs96	78.33711896200111	912081186	0.732163003005553	0.961309
HNSW	M48_efc120_efs128	78.33711896200111	912081186	0.9309342720007407	0.975815
HNSW	M48_efc120_efs192	78.33711896200111	912081186	1.298342693997256	0.988527
HNSW	M48_efc120_efs256	78.33711896200111	912081186	1.652394575998187	0.993688
HNSW	M48_efc200_efs32	135.53909141099575	912081186	0.3624094429978868	0.851114
HNSW	M48_efc200_efs64	135.53909141099575	912081186	0.6053817520005396	0.945645
HNSW	M48_efc200_efs96	135.53909141099575	912081186	0.8303026659996249	0.973868
HNSW	M48_efc200_efs128	135.53909141099575	912081186	1.004433775000507	0.985003
HNSW	M48_efc200_efs192	135.53909141099575	912081186	1.410078237997368	0.993601
HNSW	M48_efc200_efs256	135.53909141099575	912081186	1.8252189609993366	0.996723
IVF_PQ	L256_m16_np1	4.530903149003279	24264372	0.24450603599689202	0.375889
IVF_PQ	L256_m16_np2	4.530903149003279	24264372	0.5217126229981659	0.492467
IVF_PQ	L256_m16_np4	4.530903149003279	24264372	0.721366396996018	0.575963
IVF_PQ	L256_m16_np8	4.530903149003279	24264372	1.3474756200012052	0.620277
IVF_PQ	L256_m16_np16	4.530903149003279	24264372	2.4884744500013767	0.637799
IVF_PQ	L256_m16_np32	4.530903149003279	24264372	4.786911349001457	0.641992
IVF_PQ	L256_m16_np64	4.530903149003279	24264372	9.290053728000203	0.642389
IVF_PQ	L256_m32_np1	6.093392681003024	40264372	0.3764580049974029	0.410353
IVF_PQ	L256_m32_np2	6.093392681003024	40264372	0.6999840590069653	0.558756
IVF_PQ	L256_m32_np4	6.093392681003024	40264372	1.274616511000204	0.674549
IVF_PQ	L256_m32_np8	6.093392681003024	40264372	2.373565691996191	0.743795
IVF_PQ	L256_m32_np16	6.093392681003024	40264372	4.6654500370059395	0.772385
IVF_PQ	L256_m32_np32	6.093392681003024	40264372	9.02859578999778	0.779846
IVF_PQ	L256_m32_np64	6.093392681003024	40264372	17.55822527699638	0.78082
IVF_PQ	L256_m64_np1	8.128517469005601	72264372	0.7083550000024843	0.42805
IVF_PQ	L256_m64_np2	8.128517469005601	72264372	1.3317197389987996	0.597344
IVF_PQ	L256_m64_np4	8.128517469005601	72264372	2.5570894590055104	0.748627
IVF_PQ	L256_m64_np8	8.128517469005601	72264372	4.91269489700062	0.846516
IVF_PQ	L256_m64_np16	8.128517469005601	72264372	9.490024140002788	0.89071
IVF_PQ	L256_m64_np32	8.128517469005601	72264372	18.419461493998824	0.902735
IVF_PQ	L256_m64_np64	8.128517469005601	72264372	36.59118852199754	0.904486
IVF_PQ	L512_m16_np1	7.3511298730009	24397492	0.15124146600282984	0.335181
IVF_PQ	L512_m16_np2	7.3511298730009	24397492	0.23538506199838594	0.454977
IVF_PQ	L512_m16_np4	7.3511298730009	24397492	0.41211181500693783	0.550424
IVF_PQ	L512_m16_np8	7.3511298730009	24397492	0.7070339970014174	0.608396
IVF_PQ	L512_m16_np16	7.3511298730009	24397492	1.3460969459993066	0.636735
IVF_PQ	L512_m16_np32	7.3511298730009	24397492	2.526229425006022	0.646351
